"STOP_LOCATION_BLOCK","match_status","match_type","GEOID"
"6600 BLOCK OF 3RD STREET NW WASHINGTON, DC 20012 UNITED STATES","Match","Non_Exact","11001004402"
"600 BLOCK OF T STREET NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001006900"
"1400 BLOCK OF DOWNING ST NE WASHINGTON, DC 20018 UNITED STATES","Match","Non_Exact","11001009903"
"1500 BLOCK OF 19TH STREET SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001007406"
"700 BLOCK OF 12TH STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001007406"
"6900 BLOCK OF 4TH STREET NW WASHINGTON, DC 20012 UNITED STATES","Match","Non_Exact","11001007803"
"100 BLOCK OF 41ST STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001009807"
"600 BLOCK OF 7TH STREET NW WASHINGTON, DC 20001 UNITED STATES","No_Match","",NA
"300 BLOCK OF 56TH STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001008903"
"400 BLOCK OF 37TH STREET SE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001009906"
"1600 BLOCK OF LEVIS STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001007703"
"14TH STREET NW & PARKWOOD PLACE NW WASHINGTON, DC 20010 UNITED STATES","Match","Non_Exact","11001007809"
"2200 BLOCK OF NAYLOR ROAD SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001008804"
"6100 BLOCK OF 7TH PLACE NW WASHINGTON, DC 20011 UNITED STATES","Match","Non_Exact","11001009904"
"5300 BLOCK OF E STREET SE WASHINGTON, DC 20019 UNITED STATES","Tie","",NA
"2900 BLOCK OF MARTIN LUTHER KING JR AVENUE SE WASHINGTON, DC 20032 UNITED STATES","Match","Non_Exact","11001007601"
"3200 BLOCK OF 15TH PLACE SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001001901"
"100 BLOCK OF FRANKLIN STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001009905"
"UNIT BLOCK OF M STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001010400"
"UNIT BLOCK OF CHANNING STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001007404"
"800 BLOCK OF 5TH STREET NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001009201"
"3100 BLOCK OF NEWARK STREET NW WASHINGTON, DC 20008 UNITED STATES","No_Match","",NA
"900 BLOCK OF W STREET NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001001702"
"3300 BLOCK OF 13TH STREET SE WASHINGTON, DC 20032 UNITED STATES","Match","Non_Exact","11001004801"
"2200 BLOCK OF 15TH STREET NE WASHINGTON, DC 20018 UNITED STATES","Match","Non_Exact","11001009102"
"300 BLOCK OF TENNESSEE AVENUE NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001007601"
"900 BLOCK OF NEW JERSEY AVENUE NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001008402"
"1000 BLOCK OF 5TH STREET NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001001702"
"6100 BLOCK OF DIX STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001009603"
"1200 BLOCK OF ALABAMA AVENUE SE WASHINGTON, DC 20032 UNITED STATES","Match","Non_Exact","11001005802"
"4100 BLOCK OF BENNING ROAD NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001007808"
"1500 BLOCK OF CONNECTICUT AVENUE NW WASHINGTON, DC 20036 UNITED STATES","No_Match","",NA
"2200 BLOCK OF SAVANNAH STREET SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001005801"
"800 BLOCK OF QUINCY STREET NW WASHINGTON, DC 20011 UNITED STATES","Match","Non_Exact","11001000600"
"100 BLOCK OF IRVING STREET NW WASHINGTON, DC 20010 UNITED STATES","Match","Non_Exact","11001004401"
"700 BLOCK OF 19TH STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001007304"
"1400 BLOCK OF P STREET NW WASHINGTON, DC 20005 UNITED STATES","Match","Non_Exact","11001009102"
"400 BLOCK OF RHODE ISLAND AVENUE NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001008001"
"100 BLOCK OF RHODE ISLAND AVENUE NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001004702"
"4600 BLOCK OF SOUTH CAPITOL STREET SW WASHINGTON, DC 20032 UNITED STATES","Match","Non_Exact","11001004703"
"UNIT BLOCK OF RANDOLPH PLACE NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001007808"
"1200 BLOCK OF CONNECTICUT AVENUE NW WASHINGTON, DC 20036 UNITED STATES","Match","Non_Exact","11001010400"
"1100 BLOCK OF NORTH CAPITOL STREET NW WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001007803"
"4500 BLOCK OF QUARLES STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001005502"
"700 BLOCK OF 20TH STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001007403"
"19TH STREET NE & BENNING ROAD NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001002503"
"1000 BLOCK OF 44TH STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001002302"
"3100 BLOCK OF 9TH STREET NE WASHINGTON, DC 20017 UNITED STATES","Match","Non_Exact","11001007901"
"4400 BLOCK OF G STREET SE WASHINGTON, D.C. 20019 UNITED STATES","Match","Non_Exact","11001005203"
"2200 BLOCK OF MINNESOTA AVENUE SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001009204"
"2300 BLOCK OF PENNSYLVANIA AVENUE SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001003302"
"5000 BLOCK OF H STREET SE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001009810"
"3700 BLOCK OF KANSAS AVENUE NW WASHINGTON, DC 20010 UNITED STATES","No_Match","",NA
"2300 BLOCK OF PITTS PLACE SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001010700"
"2400 BLOCK OF MARTIN LUTHER KING JR AVENUE SE WASHINGTON, DC 20020 UNITED STATES","No_Match","",NA
"1300 BLOCK OF 5TH STREET NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001009601"
"2400 BLOCK OF HARTFORD STREET SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001007903"
"600 BLOCK OF KENNEDY STREET NW WASHINGTON, DC 20011 UNITED STATES","Match","Exact","11001007901"
